pp01abc 
Head,Mouse,Gun
3
42
18
@ 
close, dynamic, -236.007, 184.284, 118.445
far, static, -826.933, 354.201, 126.908
far, static, 864.882, 234.557, 183.442
far, static, -708.638, 554.604, 115.724
close, static, 133.74, 264.369, 147.148
far, dynamic, -308.196, 799.997, 373.897
medium, static, -213.176, 560.44, 121.535
far, dynamic, 493.132, 626.106, 518.105
far, static, 344.808, 825.34, 199.607
close, dynamic, -155.086, 220.414, 231.78
far, dynamic, 827.301, 276.065, 322.174
close, static, -258.014, 42.0387, 247.178
close, dynamic, -120.152, 256.971, 197.618
medium, static, -15.5397, 587.936, 218.703
medium, dynamic, 371.698, 447.835, 245.891
medium, static, -54.4718, 563.098, 299.882
medium, static, -51.4103, 565.295, 294.417
medium, dynamic, 539.123, 248.758, 186.404
far, static, -869.71, 159.036, 268.264
close, static, -65.1875, 272.556, 207.069
far, dynamic, -427.852, 688.733, 490.627
far, dynamic, -280.189, 738.752, 530.975
far, dynamic, 709.689, 552.955, 124.122
medium, static, -264.313, 513.872, 261.475
close, static, 154.838, 248.143, 166.71
medium, static, 516.589, 272.901, 236.603
close, dynamic, -92.1737, 245.986, 244.895
close, static, -64.762, 265.383, 224.008
far, dynamic, -72.6419, 880.405, 272.078
medium, dynamic, -280.51, 478.439, 328.934
close, static, -288.068, 35.3096, 175.963
medium, static, 460.968, 346.616, 265.427
medium, dynamic, 375.577, 378.935, 374.5
far, static, 419.817, 689.91, 497.213
medium, dynamic, 462.046, 365.045, 215.13
close, static, 79.9107, 287.229, 133.378
close, static, -72.2866, 289.849, 127.604
far, dynamic, -228.072, 860.06, 235.205
medium, dynamic, 237.994, 543.041, 192.008
far, dynamic, -602.837, 615.561, 360.138
far, static, 162.126, 837.207, 387.75
far, static, -6.43633, 869.075, 333.812
@ 
close, static, 126.107, 263.421, 168.601
far, dynamic, -879.891, 161.822, 198.012
far, dynamic, 630.498, 570.536, 394.891
far, static, 399.759, 806.161, 117.247
close, dynamic, -45.8177, 289.222, 165.203
medium, dynamic, 352.588, 478.257, 183.38
far, static, -883.977, 156.549, 163.857
close, dynamic, -131.021, 246.67, 209.486
medium, dynamic, 407.407, 425.616, 213.448
close, dynamic, 281.383, 94.9121, 142.607
close, dynamic, -49.1786, 284.734, 180.673
close, dynamic, 263.079, 26.6961, 241.692
close, static, 94.9358, 263.05, 208.59
close, dynamic, 191.725, 223.893, 155.797
close, static, 259.2, 45.351, 244.078
far, static, -287.645, 808.773, 370.457
medium, static, 228.995, 497.145, 345.781
medium, dynamic, 81.1672, 573.727, 255.722
medium, static, -479.745, 312.255, 279.839
medium, static, -94.2151, 579.879, 221.92
close, static, 68.278, 273.785, 201.881
close, dynamic, -118.767, 253.235, 208.474
medium, dynamic, -445.761, 400.342, 131.99
medium, static, -434.419, 374.037, 277.135
medium, static, -586.196, 57.9345, 214.095
close, dynamic, -142.405, 233.154, 223.936
medium, static, -196.824, 548.075, 244.478
medium, dynamic, -142.561, 569.445, 224.134
close, dynamic, 140.422, 224.071, 241.682
far, static, 821.79, 325.553, 269.342
far, dynamic, -457.552, 686.715, 459.261
close, static, 237.881, 129.745, 228.76
far, static, -502.888, 721.102, 292.653
close, dynamic, 21.4609, 298.832, 115.449
far, static, -563.439, 649.325, 366.296
far, dynamic, 868.402, 177.798, 255.775
close, static, -155.529, 253.849, 137.03
medium, dynamic, 546.321, 240.924, 159.064
medium, static, 375.424, 361.888, 396.806
medium, static, 40.4004, 551.031, 333.95
far, dynamic, -522.184, 643.964, 450.19
close, static, 158.505, 216.624, 233.979
@ 
medium, static, -89.0839, 522.532, 381.112
close, dynamic, -282.073, 44.2608, 192.063
close, dynamic, 284.949, 87.9418, 132.713
close, dynamic, 247.865, 93.1, 241.051
medium, static, -58.7358, 593.002, 169.995
far, dynamic, -787.269, 85.7823, 527.609
far, static, -524.133, 730.683, 137.245
far, static, 290.862, 850.228, 150.112
